run,seed,iteration,violations,mean,B1,B2,B3,B4,B5,rolled_back,n_repairs
wizard_study_seed1_20260820_164441,1,0,4,3.6,5,3,4,3,3,False,4
wizard_study_seed1_20260820_164441,1,1,0,3.2,3,3,4,3,3,False,1
wizard_study_seed1_20260820_164441,1,2,0,3.4,4,3,4,3,3,False,1
wizard_study_seed1_20260820_164441,1,3,0,3.8,5,3,5,3,3,False,1
wizard_study_seed1_20260820_164441,1,4,1,3.8,5,3,5,3,3,True,0
wizard_study_seed1_20260820_164441,1,5,0,3.6,5,3,4,3,3,False,1
wizard_study_seed1_20260820_164441,1,6,0,3.6,5,3,4,3,3,True,0
wizard_study_seed1_20260820_164441,1,7,0,3.4,4,3,4,3,3,False,0
wizard_study_seed2_20260820_172402,2,0,6,3.2,3,3,4,3,3,False,6
wizard_study_seed2_20260820_172402,2,1,4,3.2,5,3,3,3,2,False,4
wizard_study_seed2_20260820_172402,2,2,0,3.2,3,3,4,3,3,False,1
wizard_study_seed2_20260820_172402,2,3,0,3.4,5,3,3,3,3,False,1
wizard_study_seed2_20260820_172402,2,4,0,2.8,3,3,3,3,2,False,0
wizard_study_seed3_20260820_174441,3,0,3,2.8,3,2,3,3,3,False,3
wizard_study_seed3_20260820_174441,3,1,0,3.2,3,2,5,3,3,False,1
wizard_study_seed3_20260820_174441,3,2,0,2.8,3,1,4,3,3,False,1
wizard_study_seed3_20260820_174441,3,3,0,3.0,4,1,5,3,2,True,0
wizard_study_seed3_20260820_174441,3,4,0,3.4,3,3,5,3,3,False,1
wizard_study_seed3_20260820_174441,3,5,0,3.6,5,3,4,3,3,False,0
wizard_study_seed3_20260820_180741,3,0,3,3.2,3,3,4,3,3,False,3
wizard_study_seed3_20260820_180741,3,1,0,3.2,3,3,4,3,3,False,1
wizard_study_seed3_20260820_180741,3,2,0,3.2,3,3,4,3,3,False,0
