run,seed,iteration,violations,mean,B1,B2,B3,B4,B5,rolled_back,n_repairs
study_room_seed1_20260827_140648,1,0,5,3.8,5,4,3,3,4,False,5
study_room_seed1_20260827_140648,1,1,0,3.8,3,5,4,3,4,False,1
study_room_seed1_20260827_140648,1,2,0,3.8,3,4,5,4,3,False,0
study_room_seed2_20260827_142109,2,0,5,3.8,3,4,5,3,4,False,5
study_room_seed2_20260827_142109,2,1,2,3.2,3,4,3,3,3,False,2
study_room_seed2_20260827_142109,2,2,2,3.8,4,3,5,3,4,True,0
study_room_seed2_20260827_142109,2,3,1,3.6,3,4,5,3,3,False,1
study_room_seed2_20260827_142109,2,4,0,3.8,5,3,4,4,3,False,1
study_room_seed2_20260827_142109,2,5,0,3.6,4,3,5,3,3,True,0
study_room_seed2_20260827_142109,2,6,0,3.6,3,4,5,3,3,False,1
study_room_seed2_20260827_142109,2,7,0,3.2,4,3,3,3,3,False,0
study_room_seed3_20260827_150324,3,0,13,3.6,4,3,5,3,3,False,13
study_room_seed3_20260827_150324,3,1,4,3.8,4,3,5,3,4,False,4
study_room_seed3_20260827_150324,3,2,2,3.2,4,3,3,3,3,False,2
study_room_seed3_20260827_150324,3,3,2,3.6,3,4,5,3,3,False,2
study_room_seed3_20260827_150324,3,4,2,3.4,3,4,5,2,3,False,2
study_room_seed3_20260827_150324,3,5,2,3.4,3,4,5,2,3,False,1
study_room_seed3_20260827_150324,3,6,2,4.0,5,4,5,3,3,False,1
study_room_seed3_20260827_150324,3,7,3,4.0,5,4,4,3,4,True,0
study_room_seed3_20260827_150324,3,8,2,3.6,3,4,5,3,3,False,1
study_room_seed3_20260827_150324,3,9,2,4.2,4,5,5,3,4,False,0
